INFO 2025-01-21 22:16:11,227 target_list_resolver 41298 6127333376 Processing campaign 'VIP October' (ID: 13)
INFO 2025-01-21 22:16:12,353 get_contact_appointment 41298 6127333376 Processing contacts with tag VIP
INFO 2025-01-21 22:16:15,630 get_contact_appointment 41298 6127333376 Found 0 appointments in October
INFO 2025-01-21 22:16:16,051 get_contact_appointment 41298 6127333376 Found 0 appointments from November onwards
INFO 2025-01-21 22:16:16,481 get_contact_appointment 41298 6127333376 Found 0 unique customers with appointments from November onwards
INFO 2025-01-21 22:16:16,901 get_contact_appointment 41298 6127333376 After filtering, found 0 October appointments without subsequent visits
INFO 2025-01-21 22:16:17,324 get_contact_appointment 41298 6127333376 VIP - Final selection: 0 unique appointments
ERROR 2025-01-21 22:16:17,325 get_contact_appointment 41298 6127333376 Error processing VIP appointments: name 'contacts' is not defined
WARNING 2025-01-21 22:16:17,325 target_list_resolver 41298 6127333376 No contacts found for campaign 'VIP October' with tag 'VIP'
INFO 2025-01-21 22:18:54,650 target_list_resolver 42626 6123417600 Processing campaign 'VIP October' (ID: 13)
INFO 2025-01-21 22:18:55,752 get_contact_appointment 42626 6123417600 Processing contacts with tag VIP
INFO 2025-01-21 22:18:56,331 get_contact_appointment 42626 6123417600 Found 7553 appointments in October
INFO 2025-01-21 22:18:56,754 get_contact_appointment 42626 6123417600 Found 17677 appointments from November onwards
INFO 2025-01-21 22:18:58,485 get_contact_appointment 42626 6123417600 Found 12833 unique customers with appointments from November onwards
INFO 2025-01-21 22:19:03,161 get_contact_appointment 42626 6123417600 After filtering, found 6725 October appointments without subsequent visits
INFO 2025-01-21 22:19:09,613 get_contact_appointment 42626 6123417600 VIP - Final selection: 3000 unique appointments
WARNING 2025-01-21 22:19:09,615 target_list_resolver 42626 6123417600 No contacts found for campaign 'VIP October' with tag 'VIP'
INFO 2025-01-21 22:21:16,180 target_list_resolver 43365 6205386752 Processing campaign 'VIP October' (ID: 13)
INFO 2025-01-21 22:21:17,409 get_contact_appointment 43365 6205386752 Processing contacts with tag VIP
INFO 2025-01-21 22:21:18,084 get_contact_appointment 43365 6205386752 Found 2059 appointments in October
INFO 2025-01-21 22:21:18,515 get_contact_appointment 43365 6205386752 Found 5024 appointments from November onwards
